Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
User 8,Esn 28,Device Type 1,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,1970-01-01T00:00:00.000Z
User 8,Esn 50,Device Type 10,,,,,,,,,1970-01-01T00:00:00.000Z
User 8,Esn 56,Device Type 10,,,,,,,,,1970-01-01T00:00:00.000Z
User 8,Esn 18,Device Type 1,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,1970-01-01T00:00:00.000Z
User 8,Esn 19,Device Type 6,2023-05-20T17:17:32.947Z,2023-05-20T17:47:09.536Z,2023-05-20T17:20:35.310Z,2023-05-20T17:47:09.536Z,2023-05-20T17:17:32.947Z,2023-05-20T17:47:09.536Z,2023-05-20T17:20:35.310Z,2023-05-20T17:47:09.536Z,1970-01-01T00:00:00.000Z
User 8,Esn 9,Device Type 1,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,1970-01-01T00:00:00.000Z
User 8,Esn 17,Device Type 11,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,1970-01-01T00:00:00.000Z
User 8,Esn 22,Device Type 2,2023-03-28T17:15:01.118Z,2023-04-19T15:17:50.784Z,2023-04-19T15:12:09.703Z,2023-04-19T15:17:50.784Z,2023-03-28T17:15:01.118Z,2023-04-19T15:17:50.784Z,2023-04-19T15:12:09.703Z,2023-04-19T15:17:50.784Z,1970-01-01T00:00:00.000Z
User 8,Esn 16,Device Type 7,2023-01-01T03:43:30.916Z,2023-04-09T10:14:47.688Z,2023-01-01T04:06:14.320Z,2023-04-09T10:14:47.688Z,2023-01-01T03:43:30.916Z,2023-04-09T10:14:47.688Z,2023-01-01T04:06:14.320Z,2023-04-09T10:14:47.688Z,1970-01-01T00:00:00.000Z
User 8,Esn 54,Device Type 9,,,,,,,,,1970-01-01T00:00:00.000Z
User 8,Esn 12,Device Type 6,2022-08-09T15:03:25.496Z,2022-11-09T16:15:07.336Z,2022-09-24T16:17:52.956Z,2022-11-09T16:09:35.070Z,2022-08-09T15:03:25.496Z,2022-11-09T16:15:07.336Z,2022-09-24T16:17:52.956Z,2022-11-09T16:09:35.070Z,1970-01-01T00:00:00.000Z
User 8,Esn 27,Device Type 0,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,1970-01-01T00:00:00.000Z
User 8,Esn 53,Device Type 0,,,,,,,,,1970-01-01T00:00:00.000Z
User 8,Esn 52,Device Type 0,,,,,,,,,1970-01-01T00:00:00.000Z
User 8,Esn 51,Device Type 0,,,,,,,,,1970-01-01T00:00:00.000Z
User 8,Esn 14,Device Type 1,2022-10-23T18:49:50.889Z,2023-02-25T13:15:36.457Z,2022-10-23T18:49:50.889Z,2023-02-25T13:15:36.457Z,2022-10-23T18:49:50.889Z,2023-02-25T13:15:36.457Z,2022-10-23T18:49:50.889Z,2023-02-25T13:15:36.457Z,1970-01-01T00:00:00.000Z
User 8,Esn 49,Device Type 3,2023-01-20T17:25:14.263Z,2023-01-20T17:36:08.926Z,2023-01-20T17:27:11.864Z,2023-01-20T17:36:08.926Z,2023-01-20T17:25:14.263Z,2023-01-20T17:36:08.926Z,2023-01-20T17:27:11.864Z,2023-01-20T17:36:08.926Z,1970-01-01T00:00:00.000Z
User 8,Esn 24,Device Type 0,2022-06-30T15:06:02.168Z,2022-12-04T07:03:13.032Z,2022-06-30T15:06:02.168Z,2022-12-04T07:03:13.032Z,2022-06-30T15:06:02.168Z,2022-12-04T07:03:13.032Z,2022-06-30T15:06:02.168Z,2022-12-04T07:03:13.032Z,1970-01-01T00:00:00.000Z
User 8,Esn 47,Device Type 0,,,,,,,,,1970-01-01T00:00:00.000Z
User 8,Esn 38,Device Type 8,,,,,,,,,1970-01-01T00:00:00.000Z
User 8,Esn 25,Device Type 1,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,1970-01-01T00:00:00.000Z
User 8,Esn 21,Device Type 0,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-11-18T15:32:23.920Z
User 8,Esn 43,Device Type 1,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,1970-01-01T00:00:00.000Z
User 8,Esn 10,Device Type 1,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,1970-01-01T00:00:00.000Z
User 8,Esn 26,Device Type 0,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,1970-01-01T00:00:00.000Z
User 8,Esn 23,Device Type 1,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,1970-01-01T00:00:00.000Z
User 8,Esn 20,Device Type 0,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,1970-01-01T00:00:00.000Z
User 8,Esn 39,Device Type 1,2022-06-01T13:32:46.631Z,2022-08-20T19:22:29.584Z,2022-06-01T13:32:46.631Z,2022-08-20T19:22:29.584Z,2022-06-01T13:32:46.631Z,2022-08-20T19:22:29.584Z,2022-06-01T13:32:46.631Z,2022-08-20T19:22:29.584Z,1970-01-01T00:00:00.000Z
User 5,Esn 0,Device Type 5,2023-01-07T15:13:19.472Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:36.798Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:19.472Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:36.798Z,2023-06-20T15:09:20.203Z,
User 7,Esn 33,Device Type 1,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,
User 6,Esn 30,Device Type 9,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,
User 5,Esn 35,Device Type 4,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,
User 7,Esn 36,Device Type 0,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,
User 6,Esn 37,Device Type 1,2023-03-17T15:54:24.070Z,2023-06-19T04:46:05.172Z,2023-03-17T15:54:24.070Z,2023-06-19T04:46:05.172Z,2023-03-17T15:54:24.070Z,2023-06-19T04:46:05.172Z,2023-03-17T15:54:24.070Z,2023-06-19T04:46:05.172Z,
User 5,Esn 11,Device Type 0,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2023-04-09T08:46:46.120Z,2023-06-18T16:11:39.680Z,2023-04-09T08:46:46.120Z,2023-06-18T16:11:39.680Z,
User 5,Esn 29,Device Type 1,2023-01-07T18:41:03.383Z,2023-06-18T14:59:05.596Z,2023-01-07T18:41:03.383Z,2023-06-18T14:59:05.596Z,2023-01-07T18:41:03.383Z,2023-06-18T14:59:05.596Z,2023-01-07T18:41:03.383Z,2023-06-18T14:59:05.596Z,
User 7,Esn 18,Device Type 1,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,
User 7,Esn 13,Device Type 1,2022-11-13T16:58:03.860Z,2023-06-20T05:53:24.070Z,2022-11-13T16:58:03.860Z,2023-06-20T05:53:24.070Z,2023-01-07T07:15:15.105Z,2023-06-14T18:25:13.876Z,2023-01-07T07:15:15.105Z,2023-06-14T18:25:13.876Z,
User 6,Esn 19,Device Type 6,2023-05-20T17:17:32.947Z,2023-05-20T17:47:09.536Z,2023-05-20T17:20:35.310Z,2023-05-20T17:47:09.536Z,2023-05-20T17:17:32.947Z,2023-05-20T17:47:09.536Z,2023-05-20T17:20:35.310Z,2023-05-20T17:47:09.536Z,
User 6,Esn 11,Device Type 0,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2023-01-15T16:20:56.177Z,2023-05-19T16:55:22.480Z,2023-01-15T16:20:56.177Z,2023-05-19T16:55:22.480Z,
User 7,Esn 11,Device Type 0,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2022-12-31T16:20:14.144Z,2023-05-02T15:49:40.625Z,2022-12-31T16:20:14.144Z,2023-05-02T15:49:40.625Z,
User 7,Esn 9,Device Type 1,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,
User 7,Esn 28,Device Type 1,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,2023-04-25T16:44:36.723Z,2023-04-25T16:44:36.723Z,2023-04-25T16:44:36.723Z,2023-04-25T16:44:36.723Z,
User 7,Esn 17,Device Type 11,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,2023-04-20T12:03:50.902Z,2023-04-20T12:06:35.723Z,2023-04-20T12:03:50.902Z,2023-04-20T12:06:35.723Z,
User 6,Esn 22,Device Type 2,2023-03-28T17:15:01.118Z,2023-04-19T15:17:50.784Z,2023-04-19T15:12:09.703Z,2023-04-19T15:17:50.784Z,2023-03-28T17:15:01.118Z,2023-04-19T15:17:50.784Z,2023-04-19T15:12:09.703Z,2023-04-19T15:17:50.784Z,
User 6,Esn 13,Device Type 1,2022-11-13T16:58:03.860Z,2023-06-20T05:53:24.070Z,2022-11-13T16:58:03.860Z,2023-06-20T05:53:24.070Z,2023-01-11T12:46:04.646Z,2023-04-10T09:47:35.849Z,2023-01-11T12:46:04.646Z,2023-04-10T09:47:35.849Z,
User 5,Esn 16,Device Type 7,2023-01-01T03:43:30.916Z,2023-04-09T10:14:47.688Z,2023-01-01T04:06:14.320Z,2023-04-09T10:14:47.688Z,2023-04-09T10:14:47.688Z,2023-04-09T10:14:47.688Z,2023-04-09T10:14:47.688Z,2023-04-09T10:14:47.688Z,
User 5,Esn 9,Device Type 1,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2023-04-08T18:39:22.030Z,2023-04-08T18:39:22.030Z,2023-04-08T18:39:22.030Z,2023-04-08T18:39:22.030Z,
User 6,Esn 9,Device Type 1,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2023-04-08T18:38:40.260Z,2023-04-08T18:38:40.260Z,2023-04-08T18:38:40.260Z,2023-04-08T18:38:40.260Z,
User 6,Esn 16,Device Type 7,2023-01-01T03:43:30.916Z,2023-04-09T10:14:47.688Z,2023-01-01T04:06:14.320Z,2023-04-09T10:14:47.688Z,2023-01-01T03:43:30.916Z,2023-03-19T04:02:34.144Z,2023-01-01T04:06:14.320Z,2023-03-19T04:02:34.144Z,
User 6,Esn 27,Device Type 0,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,
User 5,Esn 14,Device Type 1,2022-10-23T18:49:50.889Z,2023-02-25T13:15:36.457Z,2022-10-23T18:49:50.889Z,2023-02-25T13:15:36.457Z,2023-02-25T13:15:36.457Z,2023-02-25T13:15:36.457Z,2023-02-25T13:15:36.457Z,2023-02-25T13:15:36.457Z,
User 6,Esn 14,Device Type 1,2022-10-23T18:49:50.889Z,2023-02-25T13:15:36.457Z,2022-10-23T18:49:50.889Z,2023-02-25T13:15:36.457Z,2022-10-23T18:49:50.889Z,2023-01-30T15:39:44.640Z,2022-10-23T18:49:50.889Z,2023-01-30T15:39:44.640Z,
User 7,Esn 32,Device Type 1,2022-10-06T18:28:05.467Z,2023-06-20T16:09:44.948Z,2022-10-06T18:28:05.467Z,2023-06-20T16:09:44.948Z,2022-10-06T18:28:05.467Z,2023-01-16T21:31:28.288Z,2022-10-06T18:28:05.467Z,2023-01-16T21:31:28.288Z,
User 7,Esn 25,Device Type 1,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,
User 7,Esn 21,Device Type 0,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,
User 6,Esn 10,Device Type 1,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,
User 7,Esn 26,Device Type 0,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,
User 7,Esn 23,Device Type 1,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,2022-10-06T16:14:04.171Z,2022-10-06T16:14:12.616Z,2022-10-06T16:14:04.171Z,2022-10-06T16:14:12.616Z,
User 6,Esn 20,Device Type 0,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,
User 6,Esn 12,Device Type 6,2022-08-09T15:03:25.496Z,2022-11-09T16:15:07.336Z,2022-09-24T16:17:52.956Z,2022-11-09T16:09:35.070Z,2022-08-09T15:03:25.496Z,2022-09-24T16:47:49.211Z,2022-09-24T16:17:52.956Z,2022-09-24T16:39:11.809Z,
User 6,Esn 24,Device Type 0,2022-06-30T15:06:02.168Z,2022-12-04T07:03:13.032Z,2022-06-30T15:06:02.168Z,2022-12-04T07:03:13.032Z,2022-07-17T09:29:45.094Z,2022-07-17T09:29:45.094Z,2022-07-17T09:29:45.094Z,2022-07-17T09:29:45.094Z,
User 8,Esn 45,Device Type 3,,,,,,,,,2023-06-20T07:06:22.004Z
User 8,Esn 40,Device Type 3,2023-06-17T14:29:41.591Z,2023-06-17T14:29:41.591Z,,,2023-06-17T14:29:41.591Z,2023-06-17T14:29:41.591Z,,,2023-06-17T14:33:39.127Z
User 8,Esn 57,Device Type 8,,,,,,,,,2023-01-07T15:12:07.307Z
